match_id,fecha_ba,etapa,grupo,local_code,local,goles_local,goles_visitante,visitante,visitante_code,estado,minuto
M01,11/06/2026 16:00,GROUP_STAGE,A,MEX,México,2,0,Sudáfrica,RSA,FINISHED,
M02,11/06/2026 23:00,GROUP_STAGE,A,KOR,Corea del Sur,2,1,República Checa,CZE,FINISHED,
M03,12/06/2026 16:00,GROUP_STAGE,B,CAN,Canadá,,,Bosnia y Herzegovina,BIH,FINISHED,
M04,12/06/2026 22:00,GROUP_STAGE,D,USA,Estados Unidos,4,1,Paraguay,PAR,FINISHED,
M05,13/06/2026 16:00,GROUP_STAGE,B,QAT,Catar,1,1,Suiza,SUI,FINISHED,
M06,13/06/2026 19:00,GROUP_STAGE,C,BRA,Brasil,1,1,Marruecos,MAR,FINISHED,
M07,13/06/2026 22:00,GROUP_STAGE,C,HAI,Haití,0,1,Escocia,SCO,FINISHED,
M08,14/06/2026 01:00,GROUP_STAGE,D,AUS,Australia,2,0,Turquía,TUR,FINISHED,
M09,15/06/2026 13:00,GROUP_STAGE,H,ESP,España,0,0,Cabo Verde,CPV,FINISHED,
M10,14/06/2026 14:00,GROUP_STAGE,E,GER,Alemania,7,1,Curazao,CUW,FINISHED,
M11,14/06/2026 17:00,GROUP_STAGE,F,NED,Países Bajos,2,2,Japón,JPN,FINISHED,
M12,14/06/2026 20:00,GROUP_STAGE,E,CIV,Costa de Marfil,1,0,Ecuador,ECU,FINISHED,
M13,14/06/2026 23:00,GROUP_STAGE,F,SWE,Suecia,5,1,Túnez,TUN,FINISHED,
M14,15/06/2026 16:00,GROUP_STAGE,G,BEL,Bélgica,1,1,Egipto,EGY,FINISHED,
M15,15/06/2026 19:00,GROUP_STAGE,H,KSA,Arabia Saudita,1,1,Uruguay,URU,FINISHED,
M16,15/06/2026 22:00,GROUP_STAGE,G,IRN,Irán,2,2,Nueva Zelanda,NZL,FINISHED,
M17,16/06/2026 16:00,GROUP_STAGE,I,FRA,Francia,3,1,Senegal,SEN,FINISHED,
M18,16/06/2026 19:00,GROUP_STAGE,I,IRQ,Irak,1,4,Noruega,NOR,FINISHED,
M19,16/06/2026 22:00,GROUP_STAGE,J,ARG,Argentina,3,0,Argelia,ALG,FINISHED,
M20,17/06/2026 01:00,GROUP_STAGE,J,AUT,Austria,3,1,Jordania,JOR,FINISHED,
M21,17/06/2026 14:00,GROUP_STAGE,K,POR,Portugal,1,1,RD del Congo,COD,FINISHED,
M22,17/06/2026 17:00,GROUP_STAGE,L,ENG,Inglaterra,4,2,Croacia,CRO,FINISHED,
M23,17/06/2026 20:00,GROUP_STAGE,L,GHA,Ghana,1,0,Panamá,PAN,FINISHED,
